t_s,step_idx,n_drones,min_separation_m,max_separation_m,mean_separation_m,min_distance_to_goal_m,mean_distance_to_goal_m,max_distance_to_goal_m,mean_speed_ms,max_speed_ms
0.0,0,5,12.806248474865697,40.0,22.454668658396567,3980.0321606740818,4000.0160002856005,4020.031840669922,15.0,15.0
1.0,10,5,12.669749989059808,39.999065413474874,22.360224976525082,3964.733396276486,3984.716821433403,4004.7323315781323,15.0,15.000000000000002
2.0,20,5,12.347171563481215,39.99613629988325,22.135145699068794,3949.438276586505,3969.419856259398,3989.43439820979,15.0,15.000000000000002
3.0,30,5,11.944507181281878,39.99195158806975,21.84976504355351,3934.1469930776266,3954.12517001566,3974.1384270192157,15.0,15.000000000000002
4.0,40,5,11.534835847329843,39.98784628284833,21.552315633956546,3918.8576782271466,3938.831747596516,3958.8437658858575,15.0,15.000000000000002
5.0,50,5,11.16155362508454,39.98464124761243,21.272078437758047,3903.56850618151,3923.5385723989843,3943.5496326546745,15.0,15.000000000000002
6.0,60,5,10.845195429632598,39.98255266009345,21.024087197504844,3888.278301854706,3908.244952788615,3928.2554237844706,15.0,15.000000000000002
7.0,70,5,10.590779873031734,39.981418824769015,20.81371564286163,3872.986529208292,3892.950531992609,3912.9607663455195,15.0,15.000000000000002
8.0,80,5,10.394201587134921,39.98093501397081,20.640461485287904,3857.693093381417,3877.655197122532,3897.665477626918,15.0,15.0
9.0,90,5,10.24702630151863,39.980802945065044,20.500726739237482,3842.3981418407247,3862.358980756401,3882.3695048890104,15.0,15.000000000000002
10.0,100,5,10.139620986786621,39.98079676871962,20.38965966315113,3827.1019218904903,3847.061986273671,3867.072872782197,15.0,15.000000000000002
11.0,110,5,10.062904464161546,39.98077524178889,20.30225000982417,3811.8046964978885,3831.7643405283197,3851.7756454786227,15.0,15.0
12.0,120,5,10.009131834014713,39.980668073789005,20.23389811970393,3796.506702882117,3816.466167901239,3836.4779024389154,15.0,15.000000000000002
13.0,130,5,9.97209516818991,39.98045457191224,20.180650450600293,3781.2081373218507,3801.1675783675228,3821.179724382244,15.0,15.000000000000002
14.0,140,5,9.947022977546709,39.98014371512905,20.13924471786138,3765.9091538780212,3785.868663678689,3805.8811860486917,15.0,15.000000000000002
15.0,150,5,9.93035666531382,39.97975898408089,20.1070593347346,3750.609869334379,3770.5694977109583,3790.58235311438,15.0,15.000000000000002
16.0,160,5,9.919502039329965,39.97932826719356,20.082023946225565,3735.3103701042073,3755.2701386234075,3775.2832814546405,15.0,15.000000000000002
17.0,170,5,9.912602174178419,39.978877942780116,20.06252199644107,3720.0107190300255,3739.9706315499666,3759.984017617931,15.0,15.0
18.0,180,5,9.908348459759562,39.97842995474247,20.0473002862219,3704.710961233834,3724.6710112053015,3744.6845998390195,15.0,15.000000000000002
19.0,190,5,9.905831805100586,39.9780008241653,20.035391389257363,3689.411128804784,3709.3713041508136,3729.385059219354,15.0,15.000000000000002
20.0,200,5,9.904429534875934,39.97760178956282,20.02605005380474,3674.1112443963875,3694.071530655265,3714.085420883647,15.0,15.000000000000002
21.0,210,5,9.903721497811938,39.97723951775516,20.01870251241966,3658.811323909516,3678.7717061716007,3698.785705025683,15.0,15.000000000000002
22.0,220,5,9.903428957906902,39.976917029681495,20.012906796508634,3643.5113784544556,3663.4718424848716,3683.4859278130234,15.0,15.000000000000002
23.0,230,5,9.90337071123862,39.97663463309068,20.008322019873987,3628.2114157655597,3648.171948593021,3668.1861021491522,15.0,15.0
24.0,240,5,9.903431949963464,39.976390754020564,20.00468477311845,3612.9114412105646,3632.8720313774384,3652.8862383049127,15.0,15.000000000000002
25.0,250,5,9.903542411230566,39.97618262238777,20.001791058109582,3597.6114585050236,3617.572096111276,3637.586344436,15.0,15.000000000000002
26.0,260,5,9.899447466121822,39.976006804411945,19.999482491034108,3582.311470214922,3602.2721468440445,3622.2864270040022,15.0,15.000000000000002
27.0,270,5,9.895660751953264,39.975859594578544,19.997635771807847,3567.0114781085895,3586.9721866925274,3606.986491117219,15.0,15.000000000000002
28.0,280,5,9.89256381123569,39.97573728875768,19.996154642957034,3551.7114834021604,3571.6722180610195,3591.6865408055082,15.0,15.000000000000002
